LocationDesc,Percent Diabetic,Obese (BMI 30.0 - 99.8),Overweight (BMI 25.0-29.9),Normal Weight (BMI 18.5-24.9),Underweight (BMI 12.0-18.4),Region,Division
Alabama,14,36.1,34.2,27.5,2.2,South,East South Central
Alaska,7.3,30.5,36.1,32.2,1.2,West,Pacific
Arizona,10.9,31.4,34.4,31.9,2.4,West,Mountain
Arkansas,13.6,37.4,33.2,27.8,1.6,South,West South Central
California,10.1,26.2,36.7,35.1,2.1,West,Pacific
Colorado,7,23.8,35.3,38.9,2,West,Mountain
Connecticut,9.6,29.1,36.6,32.7,1.6,Northeast,New England
Delaware,12.8,34.4,34.5,29.4,1.7,South,South Atlantic
District of Columbia,8.7,23.8,32.1,42.4,1.7,South,South Atlantic
Florida,11.7,27,37.6,32.8,2.6,South,South Atlantic
Georgia,12,33.1,33.9,30.6,2.4,South,South Atlantic
Hawaii,10.5,25,33.2,38.7,3.1,West,Pacific
Idaho,10.3,29.5,34.8,34,1.7,West,Mountain
Illinois,11.3,31.6,34.1,32.6,1.7,Midwest,East North Central
Indiana,12.4,35.3,33.8,28.8,2.1,Midwest,East North Central
Iowa,10.3,33.9,34.4,30.1,1.6,Midwest,West North Central
Kansas,10.8,35.2,34.7,28.1,1.9,Midwest,West North Central
Kentucky,13.3,36.5,35.4,26.4,1.8,South,East South Central
Louisiana,12.6,35.9,35,27.2,1.9,South,West South Central
Maine,10.6,31.7,33.8,32.5,2.1,Northeast,New England
Maryland,11,32.3,34.4,31.4,2,South,South Atlantic
Massachusetts,8.4,25.2,34.5,38.2,2.1,Northeast,New England
Michigan,11.1,36,34.4,28,1.7,Midwest,East North Central
Minnesota,8.8,30.1,35.4,32.7,1.8,Midwest,West North Central
Mississippi,14.8,40.8,31.9,25.4,1.9,South,East South Central
Missouri,10.3,34.8,33.3,30.3,1.6,Midwest,West North Central
Montana,7.6,28.3,36.4,33.9,1.4,West,Mountain
Nebraska,10.2,34.1,34.9,29.5,1.5,Midwest,West North Central
Nevada,10.9,30.6,37.2,29.9,2.4,West,Mountain
New Hampshire,9.2,31.8,35.9,30.8,1.5,Northeast,New England
New Mexico,12.3,31.7,34.4,32.4,1.5,West,Mountain
New York,10.5,27.1,36.1,35.1,1.8,Northeast,Middle Atlantic
North Carolina,11.8,34,35.6,28.6,1.8,South,South Atlantic
North Dakota,8.9,34.8,35.5,28.5,1.3,Midwest,West North Central
Ohio,12,34.8,34.5,29,1.7,Midwest,East North Central
Oklahoma,12.2,36.8,34.6,26.3,2.3,South,West South Central
Oregon,8.6,29,34.9,34,2.1,West,Pacific
Pennsylvania,10.8,33.2,35.2,29.8,1.8,Northeast,Middle Atlantic
Rhode Island,10.4,30,34.4,33.9,1.7,Northeast,New England
South Carolina,13.4,35.4,33.9,28.7,2,South,South Atlantic
South Dakota,10.6,33,37.9,27.9,1.3,Midwest,West North Central
Tennessee,13.8,36.5,33,28.6,1.9,South,East South Central
Texas,12.2,34,35.8,28.4,1.8,South,West South Central
Utah,8,29.2,34.5,34.5,1.7,West,Mountain
Vermont,8.7,26.6,32.9,38.2,2.3,Northeast,New England
Virginia,10.9,31.9,34.5,32.2,1.5,South,South Atlantic
Washington,9.4,28.3,35.6,34.3,1.8,West,Pacific
West Virginia,15.7,39.7,32.3,25.9,2.1,South,South Atlantic
Wisconsin,8.7,34.2,35.5,28.6,1.8,Midwest,East North Central
Wyoming,7.8,29.7,35.5,33.2,1.6,West,Mountain
